Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1960,"Avventura, L'",Michelangelo Antonioni,NR,145,0,0,0,0,0
1937,"Awful Truth, The",Leo McCarey,NR,91,0,0,0,0,0
2006,Babel,Alejandro González Iñárritu,R,143,0,0,1,0,0
1985,Back to the Future,Robert Zemeckis,PG,111,1,1,1,1,1
1991,Backdraft,Ron Howard,R,132,1,0,0,0,1
1956,"Bad Seed, The",Marvin LeRoy,NR,129,0,0,0,0,0
1973,Badlands,Terrence Malick,PG,95,0,0,1,0,1
1942,Bambi,David Hand,G,70,1,1,1,1,1
1971,Bananas,Woody Allen,PG-13,82,0,0,1,0,1
1992,Baraka,Ron Fricke,PG,96,0,1,0,0,1
2003,"Barbarian Invasions, The",Denys Arcand,R,99,0,0,1,0,1
1975,Barry Lyndon,Stanley Kubrick,PG,184,0,0,0,0,0
1991,Barton Fink,Joel Coen,R,116,0,1,1,0,1
1996,Basquiat,Julian Schanbel,R,108,0,0,1,0,0
1993,Batman: Mask of the Phantasm,Eric Radomski,PG,76,1,0,0,0,0
1965,"Battle of Algiers, The",Gillo Pontecorvo,NR,117,0,0,1,0,1
2000,Battle Royale,Kinji Fukasaku,NR,114,0,0,0,1,0
1925,"Battleship Potemkin, The",Grigori Aleksandrov,NR,75,0,0,1,0,1
2005,"Baxter, The",Michael Showalter,PG-13,91,0,0,0,1,0
1988,"Bear, The",Jean-Jacques Annaud,PG,94,0,0,0,0,1
2001,"Beautiful Mind, A",Ron Howard,PG-13,136,1,1,1,1,1
1991,Beauty and the Beast,Gary Trousdale,G,84,1,1,1,1,1
1946,Beauty and the Beast,Jean Cocteau,NR,93,0,0,1,0,0
2000,Before Night Falls,Julian Schnabel,R,133,0,0,1,0,0
1996,Before Sunrise,Richard Linklater,R,105,1,1,1,1,1
2004,Before Sunset,Richard Linklater,R,80,1,1,1,1,1
1991,Begotten,E. Elias Merhige,NR,78,0,0,0,0,1
1999,Being John Malkovich,Spike Jonze,R,112,1,1,1,1,1
1979,Being There,Hal Ashby,PG,130,0,0,1,0,1
2001,Bejing Bicycle,Xiaoshuai Wang,PG-13,113,1,1,1,1,1
2001,Believer The,Henry Bean,R,98,0,0,0,1,0
1959,Ben-Hur,William Wyler,G,212,0,0,1,1,0
1993,Benny & Joon,Jeremiah S. Chechik,PG,98,0,1,1,1,1
2000,Best in Show,Christopher Guest,PG-13,90,1,1,1,1,1
2003,"Best of Youth, The",Marco Tullio Giordana,R,366,0,0,0,0,1
1946,"Best Years of Our Lives, The",William Wyler,NR,176,0,0,0,0,1
2002,Better Luck Tomorrow,Justin Lin,R,101,0,1,0,1,1
1985,Better Off Dead...,Savage Steve Holland,PG,97,1,1,1,1,1
1948,Bicycle Thieves,Vittorio De Sica,NR,93,0,0,1,0,1
1948,"Big Clock, The",John Farrow,NR,95,0,0,0,0,0
2003,Big Fish,Tim Burton,PG-13,110,0,1,1,1,1
1953,"Big Heat, The",Fritz Lang,NR,89,0,0,0,0,0
1998,"Big Lebowski, The",Joel Coen,R,117,1,1,1,1,1
1996,Big Night,Campbell Scott,R,107,0,0,0,0,0
1925,"Big Parade, The",King Vidor,NR,141,0,0,0,0,0
1980,"Big Red One, The",Samuel Fuller,R,113,0,0,0,0,0
1946,"Big Sleep, The",Howard Hawks,NR,114,0,0,1,1,1
1998,"Bird People in China, The",Takashi Miike,NR,118,0,0,0,1,1
1963,"Birds, The",Alfred Hitchcock,PG-13,119,0,0,1,0,1
1915,"Birth of a Nation, The",D. W. Griffith,NR,125,0,1,1,1,1
1976,Black and White in Color,Jean-Jacques Annaud,PG,90,0,0,1,0,1
2001,Black Hawk Down,Ridley Scott,R,144,1,0,1,0,1
1959,Black Orpheus,Marcel Camus,NR,107,0,0,0,0,0
1929,Blackmail,Alfred Hitchcock,NR,96,0,0,1,0,1
1982,Blade Runner,Ridley Scott,R,117,1,1,1,1,1
1999,"Blair Witch Project, The",Daniel Sanchez,R,80,1,1,1,1,1
1974,Blazing Saddles,Mel Brooks,R,93,0,1,1,1,1
1958,"Blob, The",Irwin Yeaworth Jr.,NR,86,0,0,0,0,1
1984,Blood Simple,Joel Coen,R,97,0,0,1,0,1
2001,Blow,Ted Demme,NR,124,1,1,1,1,1
1966,Blowup,Michelangelo Antonioni,NR,111,0,0,0,0,1
1986,Blue Velvet,David Lynch,R,120,0,1,1,1,1
1981,Body Heat,Lawrence Kasdan,R,113,0,0,0,0,1
1945,"Body Snatcher, The",Robert Wise,NR,77,0,0,0,0,0
1967,Bonnie and Clyde,Arthur Penn,NR,111,0,0,0,0,1
1997,Boogie Nights,Paul Thomas Anderson,R,152,1,1,1,1,1
1947,Boomerang!,Elia Kazan,NR,88,0,0,0,0,0
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,R,84,0,1,1,1,1
2004,Born Into Brothels: Calcutta's Red Light Kids,Zana Briski,R,85,0,1,0,0,1
1989,Born on the Fourth of July,Oliver Stone,R,144,1,1,1,0,1
1950,Born Yesterday,George Cukor,NR,103,0,0,0,0,0
1996,Bottle Rocket,Wes Anderson,R,92,1,1,1,1,1
1994,Bottle Rocket,Wes Anderson,NR,13,1,0,0,0,0
1999,Bowfinger,Frank Oz,PG-13,98,1,1,1,1,1
2002,Bowling for Columbine,Michael Moore,R,120,1,1,1,1,1
1999,Boys Don't Cry,Kimberly Peirce,R,118,1,1,1,1,1
1978,"Boys from Brazil, The",Franklin J. Schaffner,R,123,0,0,0,0,0
1995,Braveheart,Mel Gibson,R,177,1,0,1,1,1
1985,Brazil,Terry Gilliam,R,131,1,1,1,1,1
1961,Breakfast at Tiffany's,Blake Edwards,NR,115,0,1,1,1,1
1985,"Breakfast Club, The",John Hughes,R,92,1,1,1,1,1
2005,Breakfast On Pluto,Neil Jordan,R,135,0,0,0,1,0
1979,Breaking Away,Peter Yates,PG,100,0,1,0,0,1
1996,Breaking the Waves,Lars von Trier,R,159,0,0,0,0,1
1960,Breathless,Jean-Luc Godard,NR,87,0,0,1,0,1
1935,Bride of Frankenstein,James Whale,NR,75,0,0,0,0,0
1957,"Bridge on the River Kwai, The",David Lean,PG,155,0,0,1,0,1
1977,"Bridge Too Far, A",Richard Attenborough,PG,176,0,0,0,0,1
2001,Bridget Jones's Diary,Sharon Maguire,R,97,1,1,1,1,1
1945,Brief Encounter,David Lean,NR,86,0,0,0,0,1
1938,Bringing Up Baby,Howard Hawks,NR,102,0,1,1,0,1
1984,Broadway Danny Rose,Woody Allen,PG,84,0,0,1,0,1
1919,Broken Blossoms,D.W. Griffifth,NR,90,0,0,0,0,0
2002,Bubba Ho-tep,Don Coscarelli,R,92,1,1,1,1,1
2003,Bukowski: Born into This,John Dullaghan,NR,130,0,0,0,0,0
1994,Bullets Over Broadway,Woody Allen,R,98,0,0,1,1,0
1969,Bullitt,Peter Yates,PG,113,1,1,0,1,1
2002,Bus 174,José Padilha,R,122,1,0,0,0,1
1956,Bus Stop,Joshua Logan,NR,96,0,0,0,0,0
1969,Butch Cassidy and the Sundance Kid,George Roy Hill,PG,110,0,0,1,1,1
1938,"Bête Humaine, La",Jean Renoir,NR,100,0,0,0,0,0
1920,"Cabinet of Dr. Caligari, The",Robert Wiene,NR,71,1,0,0,1,1
1980,Caddyshack,Harold Ramis,R,99,1,1,1,0,1
1948,Call Northside 777,Henry Hathaway,NR,111,0,0,0,0,1
1936,Camille,George Cukor,NR,109,0,0,0,0,0
1962,Cape Fear,J. Lee Thompson,NR,105,0,0,0,0,0
2005,Capote,Bennett Miller,R,98,0,1,1,1,1
1935,Captain Blood,Michael Curtiz,NR,119,0,0,0,0,1
2003,Capturing the Friedmans,Andrew Jarecki,NR,107,0,1,1,1,1
1962,Carnival of Souls,Herk Harvey,NR,78,0,0,0,0,1
1976,Carrie,Brian De Palma,R,98,0,0,0,0,1
1942,Casablanca,Michael Curtiz,PG,102,1,1,1,1,1
1995,Casino,Martin Scorsese,R,178,1,1,0,0,1
1958,Cat on a Hot Tin Roof,Richard Brooks,NR,108,0,0,0,0,1
1942,Cat People,Jacques Tourneur,NR,73,0,0,0,0,0
2002,Catch Me If You Can,Steven Spielberg,PG-13,141,1,1,1,1,1
1970,Catch-22,Mike Nichols,R,122,0,0,0,0,1
1998,"Celebration, The",Thomas Vinterberg,R,105,0,0,0,0,1
1928,Champagne,Alfred Hitchcock,NR,86,0,0,0,0,0
1949,Champion,Mark Robson,NR,99,0,0,0,0,0
1992,Chaplin,Richard Attenborough,PG-13,143,0,0,1,0,1
1963,Charade,Stanley Donen,NR,113,1,1,1,0,1
1981,Chariots of Fire,Hugh Hudson,PG,123,0,1,0,0,0
1997,Chasing Amy,Kevin Smith,R,111,1,1,1,1,1
2002,Chicago,Rob Marshall,PG-13,113,1,1,1,1,1
1931,"Chienne, La",Jean Renoir,NR,95,0,0,0,0,0
2006,Children of Men,Alfonso Cuarón,R,109,0,0,1,1,0
1945,Children of Paradise,Marcel Carné,NR,190,0,0,0,0,0
1979,"China Syndrome, The",James Bridges,PG,122,0,0,0,0,0
1974,Chinatown,Roman Polanski,R,131,1,1,1,1,1
2000,Chocolat,Lasse Hallström,PG-13,121,1,1,1,1,1
1983,"Christmas Story, A",Bob Clark,PG,94,1,1,1,1,1
1994,Chungking Express,Kar-Wai Wong,PG-13,102,0,0,1,1,0
1999,"Cider House Rules, The",Larry Hallstrom,PG-13,125,1,0,1,0,0
1950,Cinderella,Clyde Geronimi,G,74,1,1,1,1,1
1989,Cinema Paradiso,Giuseppe Tornatore,R,155,0,0,1,1,1
1941,Citizen Kane,Orson Welles,PG,119,1,1,1,1,1
1931,City Lights,Charles Chaplin,NR,87,0,0,1,0,1
2002,City of God,Fernando Meirelles,R,130,0,1,1,1,1
1961,Cleo from 5 to 7,Agnès Varda,NR,90,0,0,1,0,0
1994,Clerks,Kevin Smith,R,92,1,1,1,1,1
1971,"Clockwork Orange, A",Stanley Kubrick,R,134,1,1,1,1,1
1977,Close Encounters of the Third Kind,Steven Spielberg,PG,135,1,1,1,1,1
2004,Closer,Mike Nichols,R,98,1,1,1,1,1
1995,Clueless,Amy Heckerling,PG-13,97,1,1,1,1,1
2003,Coffee and Cigarettes,Jim Jarmusch,R,95,0,0,1,0,1
2004,Collateral,Michael Mann,R,120,1,1,1,1,1
2002,Confessions of a Dangerous Mind,George Clooney,R,113,0,1,1,1,1
1970,"Conformist, The",Bernardo Bertolucci,R,115,0,0,0,0,1
2005,"Constant Gardener, The",Fernando Meirelles,R,129,0,0,0,1,1
1997,Contact,Robert Zemeckis,PG,153,1,1,1,1,1
2004,Control Room,Jehane Noujaim,NR,83,0,0,0,0,1
1974,"Conversation, The",Francis Ford Coppola,PG,113,1,1,1,1,1
1967,Cool Hand Luke,Stuart Rosenberg,NR,126,1,1,1,1,1
2003,"Corporation, The",Jennifer Abbott,NR,145,1,1,1,0,1
2001,Cowboy Bebop: The Movie,Shinichirô Watanabe,R,116,0,0,0,1,0
2004,Crash,Paul Haggis,R,113,0,1,1,1,1
1936,"Crime of Monsieur Lange, The",Jean Renoir,NR,80,0,0,0,0,0
2002,"Crimen del Padre Amaro, El",Carlos Carrera,R,118,0,0,0,0,0
1989,Crimes and Misdemeanors,Woody Allen,PG-13,107,0,0,1,1,1
1977,Cross of Iron,Sam Peckinpah,R,119,0,0,0,0,0
2000,Crouching Tiger Hidden Dragon,Ang Lee,PG-13,120,1,0,1,1,1
1994,"Crow, The",Alex Proyas,R,102,1,1,1,0,1
1999,Cruel Intentions,Roger Kumble,R,95,1,1,1,1,1
1992,"Crying Game, The",Neil Jordan,R,107,1,1,1,1,1
1990,Cyrano de Bergerac,Jean-Paul Rappeneau,PG,137,0,0,1,0,0
1950,D.O.A,Rudolph Maté,NR,83,0,0,0,0,0
2000,Dancer in the Dark,Lars von Trier,R,140,0,0,1,0,1
1990,Dances With Wolves,Kevin Costner,PG-13,183,1,0,1,0,1
2002,"Dangerous Lives of Altar Boys, The",Peter Care,R,104,1,1,1,1,1
2007,"Darjeeling Limited, The",Wes Anderson,R,91,0,0,0,0,0
1998,Dark City,Alex Proyas,R,100,1,1,0,0,1
2000,Dark Days,Marc Singer,NR,94,0,0,0,1,1
2008,"Dark Knight, The",Christopher Nolan,PG-13,152,0,0,0,1,0
1981,Das Boot,Wolfgang Petersen,R,149,0,1,1,0,1
1993,Dave,Ivan Reitman,PG-13,110,0,0,1,0,1
1935,David Copperfield,George Cukor,NR,130,0,0,0,0,0
1951,"Day Earth Stood Still, The",Robert Wise,G,92,0,0,0,0,1
1936,"Day in the Country, A",Jean Renoir,NR,40,0,0,0,0,0
1978,Days of Heaven,Terrence Malick,PG,95,0,0,1,0,1
