Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1982,Gandhi,Richard Attenborough,PG,188,1,1,1,1,1
2002,Gangs of New York,Martin Scorsese,R,166,1,1,1,1,1
2004,Garden State,Zach Braff,R,109,1,1,1,1,1
1944,Gaslight,George Cukor,NR,114,0,0,0,0,1
1978,Gates of Heaven,Errol Morris,NR,85,0,0,0,0,1
1997,Gattaca,Andrew Niccol,PG-13,101,1,1,1,0,1
1927,"General, The",Clyde Bruckman,NR,75,0,0,1,0,1
2000,George Washington,David Gordon Green,NR,89,0,0,1,0,1
1914,Gertie the Dinosaur,Windsor McCay,NR,18,0,0,0,0,0
1972,"Getaway, The",Sam Peckinpah,PG,122,0,1,1,0,0
2001,Ghost World,Terry Zwigoff,R,111,1,1,1,1,1
1970,Gimme Shelter,Albert Maysles,R,91,0,0,1,0,0
2000,Gladiator,Ridley Scott,R,155,1,1,1,1,1
1950,"Glass Menagerie, The",Irving Rapper,NR,107,0,0,0,0,1
1987,"Glass Menagerie, The",Paul Newman,PG,134,0,0,0,0,0
1992,Glengarry Glen Ross,James Foley,R,101,1,1,1,1,1
1989,Glory,Edward Zwick,R,122,1,1,1,1,1
1972,"Godfather, The",Francis Ford Coppola,R,175,1,1,1,1,1
1974,"Godfather: Part II, The",Francis Ford Coppola,R,200,0,1,1,1,1
1990,"Godfather: Part III, The",Francis Ford Coppola,R,161,0,0,0,0,1
1998,Gods and Monsters,Bill Condon,R,105,1,0,0,0,1
1980,"Gods Must Be Crazy, The",Jamie Uys,PG,109,0,0,0,1,0
1956,"Godzilla, King of the Monsters!",Ishiro Honda,NR,80,1,0,0,0,0
1925,"Gold Rush, The",Charles Chaplin,NR,96,0,0,0,0,0
1964,Goldfinger,Guy Hamilton,PG,112,0,0,0,1,0
1939,Gone With the Wind,Victor Fleming,G,222,0,0,1,0,1
2005,"Good Night, and Good Luck.",George Clooney,PG,93,0,0,1,1,1
1997,Good Will Hunting,Gus Van Sant,R,126,1,1,1,1,1
1966,"Good, the Bad and the Ugly, The",Sergio Leone,R,161,1,0,1,1,1
1939,Goodbye Mr. Chips,Sam Wood,NR,114,0,0,0,0,1
1990,Goodfellas,Martin Scorsese,R,146,1,1,1,1,1
1985,"Goonies, The",Richard Donner,PG,113,1,1,0,1,1
2001,Gosford Park,Robert Altman,R,137,0,1,1,0,1
1967,"Graduate, The",Mike Nichols,PG,105,1,1,1,1,1
2008,Gran Torino,Clint Eastwood,R,116,0,0,0,0,0
1937,"Grande Illusion, La",Jean Renoir,NR,114,0,0,1,0,1
1940,"Grapes of Wrath, The",John Ford,NR,128,0,0,0,1,1
1988,Grave of the Fireflies,Isao Takahata,NR,93,0,0,0,0,1
1940,"Great Dictator, The",Charles Chaplin,NR,124,0,0,1,0,1
1963,"Great Escape, The",John Sturges,NR,169,1,1,1,1,1
1903,"Great Train Robbery, The",Edwin S. Porter,NR,12,0,0,0,0,1
1924,Greed,Erich von Stroheim,NR,140,0,0,0,0,0
1999,"Green Mile, The",Frank Darabont,R,188,1,0,1,0,1
1975,Grey Gardens,Ellen Hovde,NR,94,0,0,1,0,0
2007,Grindhouse,Robert Rodriguez / Quentin Tarantino,NC-17,191,0,1,0,0,1
2005,Grizzly Man,Werner Herzog,R,103,0,1,1,0,1
1997,Grosse Pointe Blank,George Armitage,R,107,1,1,1,1,1
1993,Groundhog Day,Harold Ramis,PG,101,1,1,1,1,1
1993,Grumpy Old Men,Donald Petrie,PG-13,103,1,1,0,1,1
1967,Guess Who's Coming to Dinner,Stanley Kramer,NR,108,0,0,1,1,1
1997,Gummo,Harmony Korine,R,89,0,0,0,1,0
1957,Gunfight at the O.K. Corral,John Sturges,NR,122,0,0,0,0,0
1939,Gunga Din,George Stevens,NR,117,0,0,0,0,0
1961,"Guns of Navarone, The",J. Lee Thompson,PG,158,0,0,0,1,1
1955,Guys and Dolls,Joseph L.  Makiewicz,NR,150,0,0,0,0,0
1978,Halloween,John Carpenter,R,91,1,1,1,1,1
1986,Hannah and Her Sisters,Woody Allen,PG-13,103,0,1,1,1,1
2001,Hannibal,Ridley Scott,R,131,1,1,1,1,1
1998,Happiness,Todd Solondz,NC-17,134,0,1,1,0,1
1962,Harakiri,Masaki Kobayashi,NR,135,0,0,0,0,0
1996,Hard Eight,Paul Thomas Anderson,R,102,0,0,1,0,1
1976,Harlan County U.S.A.,Barbara Kopple,PG,103,0,0,0,0,1
1971,Harold and Maude,Hal Ashby,PG,91,0,1,1,1,1
1950,Harvey,Henry Koster,NR,104,0,0,1,0,0
1995,Hate,Mathieu Kassovitz,R,96,0,0,0,0,1
1974,Hearts and Minds,Peter Davis,R,112,0,0,1,0,1
1991,Hearts of Darkness: A Filmmaker's Apocalypse,Fax Bahr / George Hickenlooper,R,96,0,0,0,0,1
1995,Heat,Michael Mann,R,171,1,1,1,1,1
2001,Hedwig and the Angry Inch,John Cameron Mitchell,R,95,0,0,0,1,0
1989,Henry V,Kenneth Branagh,PG-13,137,1,0,0,0,0
2002,Hero,Yimou Zhang,PG-13,96,1,0,0,1,1
1958,"Hidden Fortress, The",Akira Kurosawa,NR,139,0,0,0,0,0
2000,High Fidelity,Stephen Frears,R,113,1,1,1,1,1
1952,High Noon,Fred Zinneman,NR,85,1,1,1,1,1
1973,High Plains Drifter,Clint Eastwood,R,105,0,0,0,0,1
1959,Hiroshima Mon Amour,Alain Resnais,NR,90,0,0,1,0,1
1940,His Girl Friday,Howard Hawks,NR,92,0,0,0,0,1
2005,"History of Violence, A",David Cronenberg,R,96,0,0,0,0,1
1938,Holiday,George Cukor,NR,95,0,0,0,0,0
1970,"Honeymoon Killers, The",Leonard Kastle,R,115,0,0,0,0,0
1994,Hoop Dreams,Steve James,PG-13,170,0,1,0,0,1
2004,Hotel Rwanda,Terry George,PG-13,121,0,0,1,1,1
2002,"Hours, The",Stephen Daldry,PG-13,114,0,0,1,1,1
2004,House of Flying Daggers,Yimou Zhang,PG-13,119,1,0,0,0,0
2004,Howl's Moving Castle,Hayao Miyazaki,PG,119,0,0,1,1,1
1963,Hud,Martin Ritt,NR,112,0,0,1,0,1
1990,"Hunt for Red October, The",John McTiernan,PG,134,1,1,1,1,1
1937,"Hurricane, The",John Ford,NR,110,0,0,0,0,0
1992,Husbands and Wives,Woody Allen,R,108,0,0,1,1,1
2005,Hustle & Flow,Craig Brewer,R,116,0,0,1,0,1
1961,"Hustler, The",Robert Rossen,NR,134,0,1,0,0,1
1932,I Am a Fugitive from a Chain Gang,Mervyn LeRoy,NR,93,0,0,0,0,0
1953,I Confess,Alfred Hitchcock,NR,95,0,0,0,0,0
2004,I Heart Huckabees,David O. Russell,R,106,1,1,1,1,1
1996,I Shot Andy Warhol,Mary Harron,R,103,0,0,0,0,0
1932,"I Was Born, But...",Yasujiro Ozu,NR,100,0,0,0,0,0
1994,I.Q.,Fred Schepisi,PG,100,1,1,1,1,1
1997,"Ice Storm, The",Ang Lee,R,112,0,0,1,0,1
2002,Igby Goes Down,Burr Steers,R,97,1,1,1,1,1
1952,Ikiru,Akira Kurosawa,NR,143,0,0,0,1,1
2002,In America,Jim Sheridan,PG-13,105,1,1,1,0,1
1967,In Cold Blood,Richard Brooks,R,134,0,0,0,0,1
2001,In The Bedroom,Todd Field,R,130,1,1,1,0,1
1997,In the Company of Men,Neil LaBute,R,97,0,0,0,0,1
1967,In the Heat of the Night,Norman Jewison,NR,109,0,0,0,1,1
2000,In The Mood For Love,Kar-Wai Wong,PG,98,0,0,0,1,1
2004,In the Realms of the Unreal,Jessica Yu,NR,81,0,0,0,1,0
2004,"Incredibles, The",Brad Bird,PG,115,0,1,1,1,1
1996,Independence Day,Roland Emmerich,PG-13,145,0,0,1,1,1
1989,Indiana Jones and the Last Crusade,Steven Spielberg,PG-13,127,1,1,0,1,1
1984,Indiana Jones and the Temple of Doom,Steven Spielberg,PG,118,1,1,0,1,1
1935,"Informer, The",John Ford,NR,95,0,0,0,0,0
1999,Inherit the Wind,Daniel Petrie,PG,127,0,0,0,0,0
1960,Inherit the Wind,Stanley Kramer,PG,128,0,0,1,0,1
1999,"Insider, The",Michael Mann,R,157,1,1,1,1,1
1978,Interiors,Woody Allen,PG,93,0,0,1,0,1
1994,Interview with the Vampire: The Vampire Chronicles,Neil Jordan,R,123,1,0,0,0,1
1916,Intolerance,D. W. Griffith,NR,197,0,0,0,0,0
1956,Invasion of the Body Snatchers,Don Siegel,NR,80,0,0,0,0,1
1978,"Invasion of the Body Snatchers, The",Philip Kaufman,PG,115,0,0,0,0,1
1999,"Iron Giant, The",Brad Bird,PG,86,0,0,0,1,1
2002,Irreversible,Gaspar Noé,NC-17,97,0,1,1,0,1
1989,Isle of Flowers,Jorge Furtado,NR,13,0,0,0,1,1
1934,It Happened One Night,Frank Capra,NR,105,0,0,0,0,1
1934,It's a Gift,Norman McLeod,NR,73,0,0,0,0,0
1946,It's a Wonderful Life,Frank Capra,NR,130,1,0,1,1,1
2004,It's All Gone Pete Tong,Michael Dowse,R,90,0,0,1,0,1
1997,Jackie Brown,Quentin Tarantino,R,151,1,1,1,1,1
1990,Jacob's Ladder,Adrian Lyne,R,115,0,0,1,0,1
2005,Jarhead,Sam Mendes,R,123,0,0,1,0,1
1975,Jaws,Steven Spielberg,PG,127,1,1,1,1,1
2001,Jay and Silent Bob Strike Back,Kevin Smith,R,104,1,1,1,1,1
1986,Jean de Florette,Claude Berri,PG,120,0,0,0,0,0
1996,Jerry Maguire,Cameron Crowe,R,138,1,1,1,1,1
1991,JFK,Oliver Stone,R,206,0,1,1,0,1
1939,"Jour Se Leve, Le",Marcel Carné,NR,93,0,0,0,0,0
1961,Judgment at Nuremberg,Stanley Kramer,NR,186,0,0,1,0,0
1953,Julius Caesar,Joseph L.  Mankiewicz,NR,120,0,0,0,0,0
2005,Junebug,Phil Morrison,R,106,0,0,1,0,1
1967,"Jungle Book, The",Wolfgang Reitherman,G,78,1,1,1,1,1
2007,Juno,Jason Reitman,PG-13,92,0,0,1,1,1
1993,Jurassic Park,Steven Spielberg,PG-13,126,1,1,1,1,1
2001,Kandahar,Mohsen Makhmalbaf,NR,85,0,0,1,1,0
1984,"Karate Kid, The",John G. Avildsen,PG,126,0,1,0,1,1
1995,Kids,Larry Clark,R,91,0,1,1,1,1
2003,Kill Bill: Vol. 1,Quentin Tarantino,R,111,1,1,1,1,1
2004,Kill Bill: Vol. 2,Quentin Tarantino,R,136,1,1,1,1,1
1989,"Killer, The",John Woo,R,111,1,0,0,0,1
1984,"Killing Fields, The",Roland JoffÃ©,R,141,0,0,1,0,1
1956,"Killing, The",Stanley Kubrick,NR,85,0,1,1,0,1
1933,King Kong,Meriam C. Cooper,NR,100,0,0,0,0,1
1983,"King of Comedy, The",Martin Scorsese,PG,101,0,0,1,0,0
1996,Kingpin,Bobby Farrelly,PG-13,113,1,1,1,1,1
2004,Kinsey,Bill Condon,R,118,1,1,1,1,1
2005,Kiss Kiss Bang Bang,Shane Black,R,102,0,0,1,1,1
1955,Kiss Me Deadly,Robert Aldrich,NR,106,0,0,0,0,1
2003,Kitchen Stories,Bent Hamer,PG,95,0,0,0,0,0
1971,Klute,Alan J. Pakula,R,114,0,0,0,0,0
1962,Knife in the Water,Roman Polanski,NR,94,0,0,1,1,1
2007,Knocked Up,Judd Apatow,R,129,0,0,1,1,1
1979,Kramer vs. Kramer,Robert Benton,PG,105,0,0,1,0,1
2004,Kung Fu Hustle,Stephen Chow,R,95,0,0,1,1,0
1997,L.A. Confidential,Curtis Hanson,R,136,1,1,1,1,1
1955,Lady and the Tramp,Clyde Geronimi,G,75,1,1,1,1,1
1941,"Lady Eve, The",Preston Sturges,NR,97,0,0,0,0,0
1933,Lady for a Day,Frank Capra,NR,88,0,0,0,0,0
1972,Lady Sings the Blues,Sidney Furie,R,144,0,0,0,0,0
1938,"Lady Vanishes, The",Alfred Hitchcock,NR,97,0,0,0,0,1
2001,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,PG,224,0,0,0,0,0
2005,Land of the Dead,George Romero,R,93,0,0,1,1,1
2001,Lantana,Ray Lawrence,R,121,0,0,0,0,0
1987,"Last Emperor, The",Bernardo Bertolucci,PG-13,160,1,0,0,0,0
1958,"Last Hurrah, The",John Ford,NR,121,0,0,0,0,0
1992,"Last of the Mohicans, The",Michael Mann,R,122,1,0,1,0,1
1971,"Last Picture Show, The",Peter Bogdanovich,R,118,0,1,1,0,1
2003,"Last Samurai, The",Edward Zwick,R,154,0,0,0,1,1
1972,Last Tango in Paris,Bernardo Bertolucci,NC-17,136,0,0,1,0,1
1988,"Last Temptation of Christ, The",Martin Scorsese,R,164,0,0,1,0,1
1961,Last Year at Marienbad,Alain Resnais,NR,94,0,0,0,0,0
1944,Laura,Otto Preminger,NR,88,0,0,0,0,0
1962,Lawrence of Arabia,David Lean,PG,216,1,1,1,1,1
1967,Le Samouraï,Jean-Pierre Melville,PG,101,0,0,0,0,1
1989,Lean on Me,John G. Avildsen,PG-13,104,1,0,1,0,1
1995,Leaving Las Vegas,Mike Figgis,R,111,0,0,0,0,1
1974,Lenny,Bob Fosse,R,111,0,1,1,0,0
1943,"Life and Death of Colonel Blimp, The",Michael Powell,NR,163,0,0,0,0,1
2004,"Life and Death of Peter Sellers, The",Stephen Hopkins,NR,122,1,0,0,1,0
2004,"Life Aquatic with Steve Zissou, The",Wes Anderson,R,118,1,1,1,1,1
2001,Life as a House,Irwin Winkler,R,125,0,0,1,0,1
1997,Life is Beautiful,Roberto Benigni,PG-13,114,1,1,1,1,1
1979,Life of Brian,Terry Jones,R,94,0,1,1,1,1
1944,Lifeboat,Alfred Hitchcock,NR,96,0,0,1,0,0
1963,Lilies of the Field,Ralph Nelson,NR,94,0,0,1,0,0
1952,Limelight,Charles Chaplin,G,141,0,0,1,0,0
1999,"Limey, The",Steven Soderbergh,R,89,0,0,0,0,1
1969,"Lion in Winter, The",Anthony Harvey,PG,113,0,0,1,0,1
1994,"Lion King, The",Roger Allers,G,89,1,1,1,1,1
1970,Little Big Man,Arthur Penn,PG-13,147,0,0,1,0,0
1989,"Little Mermaid, The",Ron Clements,G,83,1,1,1,1,1
2006,Little Miss Sunshine,Jonathan Dayton,R,101,0,1,1,0,1
2000,Little Otik,Jan Svankmajer,NR,125,0,0,0,0,0
1933,Little Women,George Cukor,NR,117,0,0,0,0,0
1997,Live Flesh,Pedro Almodóvar,R,103,0,0,0,0,0
1995,Living in Oblivion,Tom DiCillo,R,90,0,0,0,0,0
1998,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,R,105,1,1,1,1,1
1927,"Lodger, The",Alfred Hitchcock,NR,83,0,0,0,0,0
1997,Lolita,Adrian Lyne,R,137,1,1,1,0,1
1962,Lolita,Stanley Kubrick,NR,152,1,1,1,1,1
1996,Lone Star,John Sayles,R,135,0,0,0,0,0
1962,Lonely are the Brave,David Miller,NR,107,0,0,0,0,0
1962,"Longest Day, The",Ken Annakin,G,180,0,0,0,1,1
2001,"Lord of the Rings: The Fellowship of the Ring, The",Peter Jackson,PG-13,178,1,1,1,1,1
2003,"Lord of the Rings: The Return of the King, The",Peter Jackson,PG-13,201,1,0,1,1,1
2002,"Lord of the Rings: The Two Towers, The",Peter Jackson,PG-13,179,1,1,1,1,1
1997,Lost Highway,David Lynch,R,135,1,1,1,1,1
1937,Lost Horizon,Frank Capra,NR,132,0,0,0,0,0
2003,Lost in Translation,Sofia Coppola,R,102,1,1,1,1,1
1934,"Lost Patrol, The",John Ford,NR,66,0,0,0,0,0
1945,"Lost Weekend, The",Billy Wilder,NR,101,0,0,0,0,1
2003,Love Actually,Richard Curtis,R,135,1,0,1,0,1
1957,Love in the Afternoon,Billy Wilder,NR,130,0,0,0,0,0
2002,Love Liza,Todd Louiso,R,90,1,1,1,0,1
1998,"Lovers from the North Pole, The",Julio Medem,R,112,0,0,0,0,0
1956,Lust for Life,George Cukor,NR,122,0,0,0,0,1
1931,M,Fritz Lang,NR,117,0,1,1,0,1
2004,"Machinist, The",Brad Anderson,R,102,0,0,0,0,1
1981,Mad Max 2: The Road Warrior,George Miller,R,91,0,0,0,0,0
1942,"Magnificent Ambersons, The",Orson Welles,NR,88,0,0,0,0,0
1960,"Magnificent Seven, The",John Sturges,PG-13,128,1,1,1,1,1
1999,Magnolia,Paul Thomas Anderson,R,188,1,1,1,1,1
1992,Malcolm X,Spike Lee,PG-13,194,0,0,1,0,1
1995,Mallrats,Kevin Smith,R,94,1,1,1,1,1
1941,"Maltese Falcon, The",John Huston,NR,101,0,0,0,0,1
2002,Man on the Train,Patrice Leconte,R,90,0,0,0,0,0
2003,"Man Who Copied, The",Jorge Furtado,R,123,0,0,0,0,0
1956,"Man Who Knew Too Much, The",Alfred Hitchcock,PG,120,0,0,0,0,0
1934,"Man Who Knew Too Much, The",Alfred Hitchcock,NR,84,0,0,1,0,1
1962,"Man Who Shot Liberty Valance, The",John Ford,NR,123,0,0,0,0,0
2001,"Man Who Wasn't There, The",Joel Coen,R,116,0,0,1,0,1
1975,"Man Who Would Be King, The",John Huston,PG,129,0,0,0,0,0
1962,"Manchurian Candidate, The",John Frankenheimer,PG-13,126,0,1,0,1,1
1979,Manhattan,Woody Allen,R,96,1,1,1,1,1
1993,Manhattan Murder Mystery,Woody Allen,PG,104,0,0,1,0,1
1992,Manufacturing Consent: Noam Chomsky and the Media,Mark Achbar,NR,167,0,0,1,0,1
2005,March of the Penguins,Luc Jacquet,G,80,1,1,0,0,1
1964,Marnie,Alfred Hitchcock,PG,130,0,0,0,0,1
1964,Mary Poppins,Robert Stevenson,G,140,1,1,1,1,1
1966,Masculin Féminin,Jean-Luc Godard,NR,103,0,0,0,1,0
1970,MASH,Robert Altman,PG,116,0,0,1,0,1
2005,Match Point,Woody Allen,R,124,0,1,1,1,1
2003,Matchstick Men,Ridley Scott,PG-13,116,0,0,1,1,1
1999,"Matrix, The",Andy Wachowski,R,136,1,1,1,1,1
1971,McCabe and Mrs. Miller,Robert Altman,R,120,0,0,1,0,1
2005,Me and You and Everyone We Know,Miranda July,R,90,1,1,1,1,1
1973,Mean Streets,Martin Scorsese,R,110,0,0,1,0,1
1941,Meet John Doe,Frank Capra,NR,135,0,0,0,0,0
2000,Memento,Christopher Nolan,R,113,1,1,1,1,1
1927,Metropolis,Fritz Lang,NR,123,1,1,1,1,1
1996,Michael Collins,Neil Jordan,R,133,0,0,1,0,0
1978,Midnight Express,Alan Parker,R,120,0,0,1,0,0
1988,Midnight Run,Martin Brest,R,126,0,0,0,0,0
1995,Mighty Aphrodite,Woody Allen,R,95,0,0,0,0,1
2003,"Mighty Wind, A",Christopher Guest,PG-13,91,0,1,1,1,1
1990,Miller's Crossing,Joel Coen,R,115,0,0,0,0,1
2004,Million Dollar Baby,Clint Eastwood,PG-13,132,0,0,1,0,1
2002,Minority Report,Steven Spielberg,PG-13,145,1,1,1,0,1
1962,"Miracle Worker, The",Arthur Penn,NR,106,0,0,0,0,1
1975,"Mirror, The",Andrei Tarkovsky,NR,108,0,0,0,0,0
1990,Misery,Rob Reiner,R,107,1,0,0,0,1
1961,"Misfits, The",John Huston,PG,124,0,0,0,0,0
1996,Mission: Impossible,Brian De Palma,PG-13,110,1,1,1,1,1
1988,Mississippi Burning,Alan Parker,R,128,0,0,0,0,1
1955,Mister Roberts,John Ford,NR,123,0,0,1,0,0
1936,Modern Times,Charles Chaplin,NR,87,0,0,1,0,1
2003,Monster,Patty Jenkins,R,111,1,1,0,1,1
2001,Monster's Ball,Marc Forster,R,111,1,1,1,1,1
2001,"Monsters, Inc.",Peter Docter,G,92,1,1,1,1,1
1975,Monty Python and the Holy Grail,Terry Gilliam,R,91,1,1,1,1,1
2002,"Mothman Prophecies, The",Mark Pellington,PG-13,119,1,0,1,0,1
2004,"Motorcycle Diaries, The",Walter Salles,R,128,1,0,1,0,1
2001,Moulin Rouge!,Baz Luhrmann,PG-13,127,1,1,1,1,1
1999,Mr. Death,Errol Morris,PG-13,91,0,0,1,0,0
1936,Mr. Deeds Goes to Town,Frank Capra,NR,115,0,0,0,0,1
1939,Mr. Smith Goes to Washington,Frank Capra,NR,125,1,1,1,1,1
2001,Mullholand Dr.,David Lynch,R,145,1,1,1,1,1
1976,Murder by Death,Robert Moore,PG,94,0,0,0,0,1
1930,Murder!,Alfred Hitchcock,NR,104,0,0,0,0,0
1935,Mutiny On The Bounty,Frank Lloyd,NR,132,0,0,0,0,1
2002,My Big Fat Greek Wedding,Joel Zwick,PG,96,1,1,1,1,1
1946,My Darling Clementine,John Ford,NR,97,0,1,1,0,1
1981,My Dinner With Andre,Louis Malle,PG,110,0,0,0,0,1
1964,My Fair Lady,George Cukor,G,170,0,0,1,0,1
1989,My Left Foot,Jim Sheridan,R,98,0,0,0,0,0
1988,My Neighbor Totoro,Hayao Miyazaki,G,86,0,0,0,0,0
1991,My Own Private Idaho,Gus Van Sant,R,102,0,0,0,0,1
2003,Mystic River,Clint Eastwood,R,137,1,0,1,0,1
1993,Naked,Mike Leigh,NR,131,0,0,0,0,0
1991,"Naked Gun 2 1/2: The Smell of Fear, The",David Zucker,PG-13,85,1,1,1,1,1
1994,"Naked Gun 33 1/3: The Final Insult, The",Peter Segal,PG-13,83,1,1,1,1,1
1988,"Naked Gun: From the Files of Police Squad!, The",David Zucker,PG-13,85,1,1,1,1,1
1991,Naked Lunch,David Cronenberg,R,115,0,0,1,0,1
1953,"Naked Spur, The",Anthony Mann,NR,91,0,0,0,0,0
1986,"Name of the Rose, The",Jean-Jacques Annaud,R,130,0,0,0,0,1
2004,Napoleon Dynamite,Jared Hess,PG,86,1,1,1,1,1
1975,Nashville,Robert Altman,R,159,0,0,0,0,1
1994,Natural Born Killers,Oliver Stone,R,118,1,0,1,0,1
1976,Network,Sidney Lumet,R,120,1,1,1,0,1
1994,"Neverending Story, The",Wolfgang Petersen,PG,94,1,1,1,1,1
1994,"New Legend of Shaolin, The",Jing Wong,R,95,1,1,0,0,1
2005,"New World, The",Terrence Malick,PG-13,135,0,0,0,0,1
1955,Night and Fog,Alain Resnais,NR,32,0,0,1,1,1
1935,Night at the Opera,Sam Wood,NR,96,0,0,0,0,0
1955,"Night of the Hunter, The",Charles Laughton,NR,93,0,0,0,0,1
1964,"Night of the Iguana, The",John Huston,NR,125,0,0,0,0,1
1968,Night of the Living Dead,George A. Romero,NR,96,1,1,1,1,1
2004,Night Watch,Timur Bekmambetov,R,114,0,0,0,1,1
1994,"Nightmare Before Christmas, The",Henry Selick,PG,76,1,1,1,1,1
1957,Nights of Cabiria,Federico Fellini,NR,117,0,0,0,0,1
2003,Nina's Tragedies,Savi Gavison,NR,110,0,0,0,0,0
2005,Nine Lives,Rodrigo García,R,115,0,0,0,0,1
1939,Ninotchka,Ernst Lubitsch,NR,110,0,0,0,0,0
2007,No Country for Old Men,Ethan Coen,R,122,0,0,1,1,1
2001,No Man's Land,Danis Tanovic,R,98,0,0,1,0,1
1994,Nobody's Fool,Robert Benton,R,110,0,0,1,0,1
1979,Norma Rae,Martin Ritt,PG,110,0,0,1,0,1
1959,North by Northwest,Alfred Hitchcock,NR,136,1,1,1,1,1
2003,Northfork,Michael Polish,PG-13,103,0,0,1,0,1
1922,Nosferatu,F.W. Murnau,NR,94,1,1,1,1,1
1983,Nostalgia,Andrei Tarkovsky,NR,125,0,0,0,0,0
1946,Notorious,Alfred Hitchcock,NR,101,0,0,1,0,1
1932,Number 17,Alfred Hitchcock,NR,63,0,0,0,1,1
2000,"O Brother, Where Art Thou?",Joel Coen,PG-13,106,0,1,1,1,1
1968,"Odd Couple, The",Gene Saks,G,106,0,0,0,1,0
1999,Office Space,Mike Judge,R,89,1,1,1,1,1
2003,Oldboy,Chan-wook Park,R,120,0,0,1,0,1
1976,"Omen, The",Richard Donner,R,111,0,0,1,0,1
1981,On Golden Pond,Mark Rydell,PG,109,0,0,1,0,1
1954,On the Waterfront,Elia Kazan,NR,108,0,1,1,1,1
1984,Once Upon a Time in America,Sergio Leone,R,227,0,0,1,0,0
1968,Once Upon a Time in the West,Sergio Leone,PG-13,165,0,0,1,1,1
1999,One Day in September,Kevin Macdonald,R,94,0,0,1,1,1
1992,One False Move,Carl Franklin,R,105,0,0,0,0,0
1975,One Flew Over the Cuckoo’s Nest,Milos Foreman,R,129,1,1,1,1,1
2002,One Hour Photo,Mark Romanek,R,96,0,0,1,0,1
1961,One-Eyed Jacks,Marlon Brando,NR,141,0,0,0,0,0
2003,Ong-bak: The Thai Warrior,Prachya Pinkaew,R,101,0,0,0,1,0
1939,Only Angels Have Wings,Howard Hawks,NR,121,0,0,0,0,1
1997,Open Your Eyes,Alejandro Amenábar,R,117,1,1,1,1,1
1980,Ordinary People,Robert Redford,R,124,0,1,1,0,1
2001,"Others, The",Alejandro AmenÃ¡bar,PG-13,104,0,0,1,1,1
1998,Out of Sight,Steven Soderbergh,R,123,0,0,0,0,1
1947,Out of the Past,Jacques Tourneur,NR,97,0,0,0,0,1
1976,"Outlaw Josey Wales, The",Clint Eastwood,PG,135,0,0,0,0,0
1983,"Outsiders, The",Francis Ford Coppola,PG,91,1,1,1,1,1
2003,Overnight,Tony Montana,R,115,0,0,0,0,0
1943,"Ox-Bow Incident, The",William Wellman,NR,75,0,0,1,1,1
2004,Palindromes,Todd Solondz,NR,100,0,1,1,0,0
1942,"Palm Beach Story, The",Preston Sturges,NR,88,0,0,0,0,0
2006,Pan's Labyrinth,Guillermo del Toro,R,112,0,0,1,1,1
1971,"Panic in Needle Park, The",Jerry Schatzberg,R,110,0,0,0,0,0
2002,Panic Room,David Fincher,R,112,0,1,1,0,1
1973,"Paper Chase, The",James Bridges,PG,112,0,0,0,0,0
1973,Paper Moon,Peter Bogdanovich,PG,102,0,0,1,0,1
1974,"Parallax View, The",Alan Pakula,R,102,0,0,0,0,0
1989,Parenthood,Ron Howard,PG-13,124,0,1,0,0,0
1984,"Paris, Texas",Wim Wenders,R,147,0,0,0,0,1
1928,"Passion of Joan of Arc, The",Carl Theodor Dreyer,NR,114,0,0,1,0,1
2004,"Passion of the Christ, The",Mel Gibson,R,135,1,0,1,1,1
1955,Pather Panchali,Satyajit Ray,NR,115,0,0,1,0,0
1957,Paths of Glory,Stanley Kubrick,NR,86,0,1,1,1,1
1970,Patton,Franklin J.  Schaffner,PG,172,1,1,1,1,1
1964,"Pawnbroker, The",Sidney Lumet,NR,116,0,1,0,0,0
1993,"Pelican Brief, The",Alan J. Pakula,PG-13,141,0,1,0,0,1
1996,"People vs. Larry Flynt, The",Milos Forman,R,129,0,0,1,0,1
1966,Persona,Ingmar Bergman,NR,85,0,1,1,1,1
1993,Philadelphia,Jonathan Demme,PG-13,125,0,1,1,0,1
1940,"Philadelphia Story, The",George Cukor,NR,112,0,0,1,0,1
1998,Pi,Darren Aronofsky,R,84,1,1,1,1,1
2002,"Pianist, The",Roman Polanski,R,150,0,0,1,0,1
2001,"Piano Teacher, The",Michael Haneke,R,130,0,1,0,0,1
1975,Picnic at Hanging Rock,Peter Weir,PG,115,0,0,0,0,1
1982,Pink Floyd: The Wall,Allen Parker,R,95,0,1,1,1,1
1940,Pinocchio,Hamilton Luske,G,88,1,1,1,1,1
1987,"Planes, Trains & Automobiles",John Hughes,R,93,0,1,1,0,1
1968,Planet of the Apes,Franklin J.  Schaffner,PG-13,112,1,0,1,0,0
1986,Platoon,Oliver Stone,R,111,1,1,1,0,1
1972,"Play It Again, Sam",Herbert Ross,PG,85,0,0,1,1,1
1971,Play Misty for Me,Clint Eastwood,R,102,0,0,0,0,1
1992,"Player, The",Robert Altman,R,124,0,0,1,1,1
1998,Pleasantville,Gary Ross,PG-13,124,1,1,1,1,1
2000,Pollock,Ed Harris,R,122,0,0,1,1,1
1992,Porco Rosso,Hayao Miyazaki,PG,94,0,0,1,0,1
